S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-03-20,359,SRBL,Sunrise Bank Limited,183.0000,184.6000,181.0000,182.9000,7956,1447910.6000,183.0000,272.0000,177.1000,2023-03-20T14:58:40.814528,182.9000,71,181.98,18507.46
2,2023-03-20,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,300.0000,304.8000,299.0000,304.0000,39688,11999292.1000,299.0000,525.0000,250.0000,2023-03-20T14:59:49.136004,304.0000,161,302.34,5678.61
3,2023-03-20,473,SHINE,Shine Resunga Development Bank Ltd.,334.0000,336.0000,332.0000,335.9000,12577,4194422.5000,331.7000,424.0000,255.1000,2023-03-20T14:59:44.703430,335.9000,93,333.49,14389.56
4,2023-03-20,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,540.0000,548.0000,535.0000,544.0000,5486,2958657.4000,531.1000,835.0000,530.1000,2023-03-20T14:59:46.839217,544.0000,75,539.31,6243.74
5,2023-03-20,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,196.0000,199.6000,195.0000,199.0000,53938,10669885.4000,196.0000,308.0000,159.8000,2023-03-20T14:59:58.759178,199.0000,339,197.81,43206.85
6,2023-03-20,2770,SEF,Siddhartha Equity Fund,8.0000,8.0000,7.9000,7.9000,500,3970.0000,7.9000,11.2500,7.6900,2023-03-20T14:59:59.176176,7.9000,3,7.94,
7,2023-03-20,2813,PPCL,Panchthar Power Compant Limited,348.5000,359.0000,348.4000,359.0000,7358,2607787.2000,354.9000,444.9000,230.0000,2023-03-20T14:59:40.361503,359.0000,50,354.41,3455.38
8,2023-03-20,2824,HURJA,Himalaya Urja Bikas Company Limited,365.0000,365.0000,360.0000,360.0000,6922,2494904.0000,363.0000,483.0000,190.5000,2023-03-20T14:59:08.707538,360.0000,37,360.43,3564.00
9,2023-03-20,2835,NBF2,NABIL BALANCED FUND-2,8.0000,8.0000,7.9000,8.0000,10300,82380.0000,7.8600,11.2000,7.4500,2023-03-20T14:59:59.467997,8.0000,12,7.99,
10,2023-03-20,2860,SAPDBL,Saptakoshi Development Bank Ltd,251.0000,252.0000,245.0000,252.0000,6195,1536016.8000,247.9000,360.9000,178.1000,2023-03-20T14:59:49.866843,252.0000,44,247.94,2102.53
11,2023-03-20,2862,CMF2,CITIZENS MUTUAL FUND 2,7.8400,7.8400,7.8400,7.8400,200,1568.0000,8.0000,10.7600,7.2400,2023-03-20T11:26:10.114616,7.8400,1,7.84,
12,2023-03-20,2898,NRN,NRN Infrastructure and Development Limited,448.1000,468.8000,448.1000,468.8000,3710,1716929.9000,457.0000,718.8000,385.0000,2023-03-20T14:59:42.666816,468.8000,71,462.78,5734.42
13,2023-03-20,2925,MLBSL,Mahila Lagubitta Bittiya Sanstha Limited ,2139.0000,2139.0000,2100.0000,2120.0000,942,1987119.5000,2100.0000,4329.6000,2100.0000,2023-03-20T14:58:12.662889,2120.0000,35,2109.46,4612.32
14,2023-03-20,4968,RMF1,RBB Mutual Fund 1,7.5000,7.6500,7.5000,7.5600,5850,44264.0000,7.5800,9.2700,7.0400,2023-03-20T14:57:02.903022,7.5600,9,7.56,
15,2023-03-20,8021,SAHAS,Sahas Urja Limited,534.0000,558.0000,534.0000,555.0000,14534,7920015.1000,538.0000,656.0000,377.5000,2023-03-20T14:59:59.332094,555.0000,343,544.93,19425.00
16,2023-03-20,8122,PPL,People's Power Limited,313.0000,313.8000,306.8000,312.5000,11730,3638650.0000,307.9000,336.0000,190.0000,2023-03-20T14:59:55.787185,312.5000,310,310.20,1976.88
17,2023-03-20,8128,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,979.0000,998.0000,960.0000,998.0000,235,228513.0000,998.5000,1870.0000,303.2000,2023-03-20T14:40:23.573100,998.0000,16,972.39,399.20
18,2023-03-20,9147,SPL,Shuvam Power Limited,565.0000,610.9000,534.4000,590.0000,20723,12220973.8000,567.6000,610.9000,265.0000,2023-03-20T14:59:59.125313,590.0000,1275,589.72,1180.00
19,2023-03-20,189,PICL,Prudential Insurance Co. Ltd.,400.0000,400.0000,395.0000,400.0000,8151,3229208.0000,399.0000,732.0000,328.3000,2023-03-20T14:59:45.394838,400.0000,48,396.17,4902.34
20,2023-03-20,235,HDL,Himalayan Distillery Limited,1975.0000,2000.0000,1965.0000,1998.0000,17248,34262820.7000,1975.0000,4323.0000,1965.0000,2023-03-20T14:59:55.335309,1998.0000,578,1986.48,48542.74
21,2023-03-20,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,329.0000,329.8000,325.0000,327.0000,2010,656897.5000,327.0000,431.9000,223.9000,2023-03-20T14:58:03.311151,327.0000,22,326.81,3309.82
22,2023-03-20,393,PLIC,Prime Life Insurance Company Limited,407.9000,409.0000,401.4000,408.0000,3485,1415166.8000,401.0000,801.0000,400.0000,2023-03-20T14:59:55.173294,408.0000,51,406.07,12815.14
23,2023-03-20,493,CZBILP,Citizens Bank Internatioal Limited Promoter Share,100.0000,100.0000,100.0000,100.0000,585271,58527100.0000,100.0000,153.0000,100.0000,2023-03-20T13:08:47.728963,100.0000,5,100.00,
24,2023-03-20,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,606.0000,610.0000,598.0000,601.0000,2186,1318924.7000,602.1000,1115.0000,598.0000,2023-03-20T14:59:57.732133,601.0000,38,603.35,3769.48
25,2023-03-20,561,SINDU,Sindhu Bikash Bank Ltd,261.3000,268.2000,261.3000,268.2000,3605,958854.5000,263.0000,404.9000,220.6000,2023-03-20T14:59:08.486542,268.2000,22,265.97,1495.10
26,2023-03-20,591,SHPC,Sanima Mai Hydropower Ltd.,323.7000,329.0000,319.6000,329.0000,76905,24905955.6000,319.0000,416.9000,250.0000,2023-03-20T14:59:55.679001,329.0000,293,323.85,10163.64
27,2023-03-20,2760,UMHL,United Modi Hydropower Ltd.,278.4000,278.4000,271.5000,277.6000,25365,6980677.7000,273.0000,384.0000,192.1000,2023-03-20T14:59:35.701232,277.6000,155,275.20,3192.40
28,2023-03-20,2781,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,820.0000,820.0000,800.0000,800.0000,320,258470.5000,834.0000,1510.0000,800.0000,2023-03-20T14:58:03.963386,800.0000,10,807.72,633.64
29,2023-03-20,2896,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,657.0000,688.5000,657.0000,678.0000,132,88785.1000,668.0000,1305.6000,650.0000,2023-03-20T14:58:01.939453,678.0000,11,672.61,2591.71
30,2023-03-20,2923,SLCF,Sanima Large Cap Fund,7.0600,7.2300,7.0600,7.1600,1800,12791.0000,7.0900,9.5000,6.9000,2023-03-20T14:59:53.770654,7.1600,8,7.10,
31,2023-03-20,5982,SLI,Sanima Life Insurance Limited,398.1000,405.0000,393.0000,402.0000,4191,1681089.0000,403.0000,651.2000,311.5000,2023-03-20T14:59:58.466805,402.0000,230,401.11,8377.68
32,2023-03-20,8005,MKJC,Mailung Khola Jal Vidhyut Company Limited,438.9000,455.0000,438.7000,453.0000,2280,1025771.0000,446.9000,695.0000,372.6000,2023-03-20T14:59:41.255068,453.0000,38,449.89,1667.69
33,2023-03-20,8063,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,1610.0000,1640.0000,1595.0000,1625.0000,832,1343581.5000,1580.2000,3951.4000,1211.0000,2023-03-20T14:59:52.345933,1625.0000,36,1614.88,1724.91
34,2023-03-20,8071,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,1366.8000,1366.8000,1315.1000,1342.0000,235,313334.5000,1340.0000,2705.0000,256.8000,2023-03-20T14:59:10.521550,1342.0000,15,1333.33,333.35
35,2023-03-20,8123,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,813.0000,846.6000,805.0000,846.6000,1054,858559.5000,828.2000,1662.0000,177.7000,2023-03-20T14:58:31.973346,846.6000,41,814.57,872.84
36,2023-03-20,131,NABIL,Nabil Bank Limited,607.0000,613.7000,606.5000,613.0000,51889,31589859.2000,606.0000,1075.0000,605.0000,2023-03-20T14:59:57.799101,613.0000,692,608.79,165859.40
37,2023-03-20,153,BPCL,Butwal Power Company Limited,325.0000,325.0000,319.0000,324.9000,3975,1282171.3000,319.0000,424.0000,288.0000,2023-03-20T14:59:37.718329,324.9000,74,322.55,11076.05
38,2023-03-20,172,NABBC,Narayani Development Bank Limited,419.7000,419.7000,405.0000,416.0000,3555,1441608.0000,413.1000,555.0000,317.7000,2023-03-20T14:56:47.037180,416.0000,12,405.51,1091.87
39,2023-03-20,176,NICL,Nepal Insurance Co. Ltd.,523.0000,524.9000,516.0000,522.0000,8754,4557195.5000,516.0000,934.0000,385.1000,2023-03-20T14:59:59.264820,522.0000,69,520.58,7802.68
40,2023-03-20,180,UIC,United Insurance Co. (Nepal) Ltd.,431.0000,439.0000,423.0000,437.9000,4150,1791956.5000,430.9000,725.0000,325.0000,2023-03-20T14:58:46.378292,437.9000,39,431.79,4727.43
41,2023-03-20,238,NMB,NMB Bank Limited,221.0000,224.0000,220.0000,222.0000,26799,5962842.8000,220.9000,320.0000,217.9000,2023-03-20T14:59:30.957181,222.0000,120,222.50,40774.09
42,2023-03-20,428,KRBL,Karnali Development Bank Limited,274.0000,274.5000,268.6000,273.9000,10896,2953716.8000,269.4000,435.0000,198.9000,2023-03-20T14:59:37.671732,273.9000,47,271.08,1451.70
43,2023-03-20,450,CORBL,Corporate Development Bank Limited,308.0000,314.0000,305.0000,308.8000,495,151570.5000,302.0000,575.0000,211.3000,2023-03-20T14:56:32.494823,308.8000,13,306.20,1621.20
44,2023-03-20,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,759.8000,774.9000,740.0000,740.0000,237,176810.6000,745.0000,1605.0000,740.0000,2023-03-20T14:58:45.651779,740.0000,8,746.03,1450.42
45,2023-03-20,610,RIDI,Ridi Power Company Limited,348.0000,353.0000,343.1000,352.0000,27917,9760355.4000,342.0000,838.0000,334.7000,2023-03-20T14:59:50.331781,352.0000,181,349.62,5452.13
46,2023-03-20,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,679.7000,700.0000,653.1000,690.0000,240,161226.8000,666.4000,1590.0000,646.8000,2023-03-20T14:59:51.888411,690.0000,13,671.77,3252.46
47,2023-03-20,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,565.0000,565.0000,554.0000,561.0000,2678,1501378.9000,556.1000,1081.0000,554.0000,2023-03-20T14:59:23.646746,561.0000,46,560.63,7405.20
48,2023-03-20,2748,RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,498.0000,502.0000,493.0000,500.0000,1385,691768.0000,492.0000,728.2000,450.0000,2023-03-20T14:41:17.875302,500.0000,29,499.47,4347.84
49,2023-03-20,2766,CHL,Chhyangdi Hydropower Ltd.,320.0000,333.0000,320.0000,333.0000,22914,7537555.4000,319.1000,475.0000,193.1000,2023-03-20T14:59:57.591916,333.0000,87,328.94,1288.64
50,2023-03-20,2771,SMB,Support Microfinance Bittiya Sanstha Ltd.,969.9000,969.9000,900.0000,900.0000,129,120124.0000,951.0000,1840.0000,900.0000,2023-03-20T14:55:11.819192,900.0000,11,931.19,857.14
51,2023-03-20,2786,PMHPL,Panchakanya Mai Hydropower Ltd,250.0000,251.0000,246.1000,251.0000,3745,937465.2000,247.9000,349.8000,168.0000,2023-03-20T14:59:58.386256,251.0000,35,250.32,2761.00
52,2023-03-20,2789,JOSHI,Joshi Hydropower Development Company Ltd,273.4000,279.0000,273.4000,277.0000,26124,7223087.5000,278.9000,318.0000,164.8000,2023-03-20T14:59:59.188155,277.0000,133,276.49,1028.78
53,2023-03-20,2903,LEC,Liberty Energy Company Limited,282.0000,289.8000,281.0000,285.5000,7544,2167325.1000,287.0000,382.0000,203.0000,2023-03-20T14:59:45.522107,285.5000,87,287.29,4282.50
54,2023-03-20,2913,MEN,Mountain Energy Nepal Limited,750.0000,790.0000,750.0000,765.0000,2987,2330605.0000,758.0000,1135.0000,692.0000,2023-03-20T14:59:47.958010,765.0000,52,780.24,15055.41
55,2023-03-20,2917,CGH,Chandragiri Hills Limited,1132.0000,1185.0000,1131.0000,1180.0000,1810,2122121.0000,1148.0000,1487.0000,900.2000,2023-03-20T14:59:54.779242,1180.0000,64,1172.44,18102.27
56,2023-03-20,2933,KEF,Kumari Equity Fund,7.8200,7.9400,7.7800,7.9400,1670,13039.5000,7.8200,10.0700,7.7300,2023-03-20T14:58:34.437094,7.9400,8,7.80,
57,2023-03-20,8036,RULB,Rastra Utthan Laghubitta Sanstha Limited,660.0000,669.0000,647.1000,669.0000,1282,837778.7000,659.0000,1931.7000,625.9000,2023-03-20T14:58:51.052941,669.0000,42,653.49,1739.40
58,2023-03-20,8106,GIBF1,Global IME Balanced Fund-1,7.9000,8.0000,7.9000,7.9100,500,3961.0000,8.0500,10.0000,7.5500,2023-03-20T14:48:53.954332,7.9100,5,7.92,
59,2023-03-20,8110,SBID83,10.25% Nepal SBI Bank Debenture 2083,910.0000,920.0000,910.0000,920.0000,250,228950.0000,910.0000,1000.0000,851.0000,2023-03-20T14:46:13.818621,920.0000,4,915.80,
60,2023-03-20,132,NIMB,Nepal Investment Mega Bank Limited,192.0000,194.0000,190.2000,191.4000,41833,8025938.1000,190.9000,408.4900,189.7000,2023-03-20T14:59:49.730243,191.4000,308,191.85,65322.13
61,2023-03-20,134,HBL,Himalayan Bank Limited,233.0000,240.0000,233.0000,239.0000,36318,8637632.4000,236.0000,398.7500,225.7000,2023-03-20T14:59:53.996448,239.0000,199,237.83,51759.31
62,2023-03-20,139,NICA,NIC Asia Bank Ltd.,749.0000,749.0000,731.1000,738.0000,84134,61995922.8000,742.0000,861.9000,600.3000,2023-03-20T14:59:53.353483,738.0000,667,736.87,85342.36
63,2023-03-20,154,CHCL,Chilime Hydropower Company Limited,466.0000,479.0000,466.0000,479.0000,27743,13119954.8000,469.0000,504.1000,347.9000,2023-03-20T14:59:57.344253,479.0000,188,472.91,34766.68
64,2023-03-20,338,PROFL,Progressive Finance Limited,335.0000,339.0000,328.3000,331.0000,4639,1537592.8000,330.9000,389.9000,192.0000,2023-03-20T14:59:56.161559,331.0000,47,331.44,2833.71
65,2023-03-20,348,CZBIL,Citizens Bank International Limited,179.0000,181.0000,179.0000,180.0000,31291,5628548.5000,179.0000,278.0000,175.0000,2023-03-20T14:59:49.794698,180.0000,152,179.87,25561.75
66,2023-03-20,358,LBBL,Lumbini Bikas Bank Ltd.,335.0000,335.0000,330.0000,334.5000,10328,3432089.1000,329.1000,503.0000,290.1000,2023-03-20T14:59:23.672453,334.5000,63,332.30,11315.54
67,2023-03-20,401,MLBL,Mahalaxmi Bikas Bank Ltd.,314.0000,317.0000,313.0000,316.0000,14520,4571917.7000,310.3000,485.0000,297.0000,2023-03-20T14:59:44.846902,316.0000,96,314.87,13181.37
68,2023-03-20,403,SJLIC,SuryaJyoti Life Insurance Company Limited,444.2000,455.0000,444.2000,448.1000,17402,7805998.1000,444.1000,806.5000,351.0000,2023-03-20T14:59:59.960128,448.1000,208,448.56,20368.71
69,2023-03-20,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,488.9000,491.0000,474.4000,491.0000,2095,1010223.0000,484.0000,957.0000,465.0000,2023-03-20T14:59:58.576376,491.0000,52,482.20,4824.07
70,2023-03-20,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,691.6000,722.9000,691.6000,720.0000,4335,3069348.4000,678.1000,1365.0000,676.0000,2023-03-20T14:59:16.740939,720.0000,79,708.03,2184.45
71,2023-03-20,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,754.0000,754.0000,727.1000,740.1000,1371,1013280.0000,741.0000,1652.4000,727.1000,2023-03-20T14:59:12.150195,740.1000,37,739.08,4580.48
72,2023-03-20,2753,NEF,Nabil Equity Fund,8.7500,8.7500,8.6500,8.7500,20140,174955.0000,8.7700,11.2500,7.7500,2023-03-20T14:40:44.092658,8.7500,7,8.68,
73,2023-03-20,2759,SPDL,Synergy Power Development Ltd.,311.9000,314.0000,308.4000,314.0000,10490,3276399.0000,308.4000,474.0000,234.0000,2023-03-20T14:59:55.924112,314.0000,68,312.33,2532.65
74,2023-03-20,2780,CMF1,Citizens Mutual Fund -1,7.2400,7.3800,7.2400,7.3800,10100,74524.0000,7.3800,10.0000,6.7500,2023-03-20T12:09:36.443646,7.3800,3,7.37,
75,2023-03-20,2788,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,229.9000,230.9000,226.0000,230.5000,35381,8119235.2000,227.0000,310.0000,159.8000,2023-03-20T14:59:59.956599,230.5000,181,229.48,1844.00
76,2023-03-20,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,731.0000,774.1000,731.0000,755.0000,279,212482.4000,731.0000,1225.0000,706.0000,2023-03-20T13:24:56.806060,755.0000,13,761.58,1144.24
77,2023-03-20,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,302.0000,313.0000,302.0000,313.0000,14004,4332719.5000,306.0000,381.0000,210.0000,2023-03-20T14:58:44.838526,313.0000,140,309.39,10282.05
78,2023-03-20,2902,LUK,Laxmi Unnati Kosh,7.8000,7.9600,7.8000,7.9000,17300,136010.0000,7.7900,10.5000,7.5200,2023-03-20T13:27:42.845327,7.9000,9,7.86,
79,2023-03-20,2907,SSHL,Shiva Shree Hydropower Ltd,228.1000,236.8000,228.1000,235.9000,55171,12954490.8000,231.0000,376.0000,155.1000,2023-03-20T14:59:55.681999,235.9000,210,234.80,3482.83
80,2023-03-20,2919,NIFRA,Nepal Infrastructure Bank Limited,217.5000,222.5000,217.0000,222.5000,61282,13487465.0000,219.0000,360.0000,176.9000,2023-03-20T14:59:38.184475,222.5000,654,220.08,48060.00
81,2023-03-20,2924,GLH,GreenLife Hydropower Limited,294.3000,306.0000,294.3000,305.5000,6264,1900218.9000,298.0000,511.0000,219.0000,2023-03-20T14:59:54.328556,305.5000,89,303.35,5499.00
82,2023-03-20,4951,JBLB,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,1830.0000,1855.0000,1795.1000,1798.0000,7906,14338912.1000,1830.0000,5260.0000,1795.1000,2023-03-20T14:59:30.706558,1798.0000,318,1813.67,18596.35
83,2023-03-20,4955,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,718.0000,761.0000,712.0000,724.9000,506,362931.8000,731.9000,1305.0000,702.0000,2023-03-20T14:59:08.473047,724.9000,31,717.25,1076.32
84,2023-03-20,8108,RHGCL,Rapti Hydro And General Construction Limited,338.0000,347.3000,338.0000,347.3000,21798,7439845.0000,344.0000,406.0000,191.6000,2023-03-20T14:59:58.020828,347.3000,235,341.30,2128.23
